Unique Author,File_changed,Insertions,Deletions,Issue,Total,Changed_Scores,Insertions_Scores,Deletions_Scores,Issue_Scores,Total%
A. Unique TensorFlower,118992,7560883,5726547,108,39,10,10,10,9,0.975
Gunhan Gulsoy,5784,129549,510064,2,16,7,0,9,0,0.4
Peter Hawkins,6287,268718,74123,7,15,8,7,0,0,0.375
Austin Anderson,3342,205652,207984,0,13,0,5,8,0,0.325
Benoit Steiner,3723,327386,137069,4,12,0,8,4,0,0.3
Yong Tang,2113,29319,7741,110,10,0,0,0,10,0.25
River Riddle,8500,133537,101773,1,10,9,0,1,0,0.25
Manjunath Kudlur,4201,434466,12744,0,9,0,9,0,0,0.225
Yifei Feng,4556,161096,175564,6,8,0,2,6,0,0.2
Amit Patankar,2153,29491,26168,29,8,0,0,0,8,0.2
