Name,Quarters,File_Changed,Insertions,Deletions
A. Unique TensorFlower,2021-Q4,0,0,0
A. Unique TensorFlower,2021-Q3,0,0,0
A. Unique TensorFlower,2021-Q2,1107,24570,21418
A. Unique TensorFlower,2021-Q1,3035,54692,34926
A. Unique TensorFlower,2020-Q4,2679,62249,39214
A. Unique TensorFlower,2020-Q3,3818,93483,71821
A. Unique TensorFlower,2020-Q2,5184,200410,50256
A. Unique TensorFlower,2020-Q1,4813,107100,61891
A. Unique TensorFlower,2019-Q4,3471,120328,68201
A. Unique TensorFlower,2019-Q3,5639,570257,487854
A. Unique TensorFlower,2019-Q2,4750,3563824,3513576
A. Unique TensorFlower,2019-Q1,4544,307678,110702
A. Unique TensorFlower,2018-Q4,4619,162192,77118
A. Unique TensorFlower,2018-Q3,5540,173703,68318
A. Unique TensorFlower,2018-Q2,6026,195958,101799
A. Unique TensorFlower,2018-Q1,5482,290367,178443
Jiri Simsa,2021-Q4,0,0,0
Jiri Simsa,2021-Q3,0,0,0
Jiri Simsa,2021-Q2,469,9030,10475
Jiri Simsa,2021-Q1,383,5402,7636
Jiri Simsa,2020-Q4,33,498,249
Jiri Simsa,2020-Q3,77,1693,1423
Jiri Simsa,2020-Q2,242,5730,3461
Jiri Simsa,2020-Q1,290,2533,1427
Jiri Simsa,2019-Q4,237,4798,3922
Jiri Simsa,2019-Q3,705,9282,7048
Jiri Simsa,2019-Q2,554,7490,9415
Jiri Simsa,2019-Q1,356,5135,3718
Jiri Simsa,2018-Q4,658,15284,12745
Jiri Simsa,2018-Q3,505,12481,6380
Jiri Simsa,2018-Q2,417,19484,5318
Jiri Simsa,2018-Q1,6,69,25
Chao Mei,2021-Q4,0,0,0
Chao Mei,2021-Q3,0,0,0
Chao Mei,2021-Q2,45,509,237
Chao Mei,2021-Q1,46,786,206
Chao Mei,2020-Q4,41,407,339
Chao Mei,2020-Q3,142,1796,3544
Chao Mei,2020-Q2,238,4124,2029
Chao Mei,2020-Q1,140,3259,1477
Chao Mei,2019-Q4,83,1365,501
Chao Mei,2019-Q3,87,1521,752
Chao Mei,2019-Q2,7,55,21
Chao Mei,2019-Q1,0,0,0
Isha Arkatkar,2021-Q4,0,0,0
Isha Arkatkar,2021-Q3,0,0,0
Isha Arkatkar,2021-Q2,7,163,12
Isha Arkatkar,2021-Q1,52,2365,572
Shivani Agrawal,2021-Q4,0,0,0
Shivani Agrawal,2021-Q3,0,0,0
Shivani Agrawal,2021-Q2,3,82,2
Shivani Agrawal,2021-Q1,2,2,0
Shivani Agrawal,2019-Q4,0,0,0
Shivani Agrawal,2019-Q3,4,392,275
Shivani Agrawal,2019-Q2,0,0,0
Shivani Agrawal,2019-Q1,119,2644,934
Shivani Agrawal,2018-Q4,204,6980,7304
Shivani Agrawal,2018-Q3,95,2986,660
Shivani Agrawal,2018-Q2,38,952,355
Shivani Agrawal,2018-Q1,34,672,883
HanBin Yoon,2021-Q4,0,0,0
HanBin Yoon,2021-Q3,0,0,0
HanBin Yoon,2021-Q2,10,438,22
HanBin Yoon,2021-Q1,1,0,2
HanBin Yoon,2020-Q4,0,0,0
HanBin Yoon,2020-Q3,18,290,12
HanBin Yoon,2020-Q2,0,0,0
HanBin Yoon,2020-Q1,0,0,0
Robert David,2021-Q4,0,0,0
Robert David,2021-Q3,0,0,0
Robert David,2021-Q2,14,166,10
Robert David,2021-Q1,53,908,379
Robert David,2020-Q4,24,144,147
Robert David,2020-Q3,268,5326,3715
Robert David,2020-Q2,281,4548,4592
Robert David,2020-Q1,165,2415,2705
Robert David,2019-Q4,198,2430,3308
Robert David,2019-Q3,9,22,116
Robert David,2019-Q2,0,0,0
Robert David,2019-Q1,0,0,0
Meghna Natraj,2021-Q4,0,0,0
Meghna Natraj,2021-Q3,0,0,0
Meghna Natraj,2021-Q2,23,355,650
Meghna Natraj,2021-Q1,29,341,329
Meghna Natraj,2020-Q4,88,3186,2682
Meghna Natraj,2020-Q3,89,3385,2653
Meghna Natraj,2020-Q2,73,10031,4431
Meghna Natraj,2020-Q1,52,1350,514
Meghna Natraj,2019-Q4,3,399,361
Meghna Natraj,2019-Q3,0,0,0
Meghna Natraj,2019-Q2,0,0,0
Meghna Natraj,2019-Q1,0,0,0
Geoffrey Martin-Noble,2021-Q4,0,0,0
Geoffrey Martin-Noble,2021-Q3,0,0,0
Geoffrey Martin-Noble,2021-Q2,24,147,39
