variable,group,value
geetachavan1,PullRequest,93		
geetachavan1,Comment,0		
geetachavan1,Commit,0		
geetachavan1,Review,0		
mihaimaruseac,PullRequest,0		
mihaimaruseac,Comment,0    
mihaimaruseac,Commit,73    
mihaimaruseac,Review,0    
gabrielferrazduque,PullRequest,1    
gabrielferrazduque,Comment,0    
gabrielferrazduque,Commit,1    
gabrielferrazduque,Review,0    
google-cla,PullRequest,0    
google-cla,Comment,7    
google-cla,Commit,0    
google-cla,Review,0    
gbaned,PullRequest,0    
gbaned,Comment,1    
gbaned,Commit,0
gbaned,Review,0
av8ramit,PullRequest,0
av8ramit,Comment,0
av8ramit,Commit,16
av8ramit,Review,0
advaitjain,PullRequest,2
advaitjain,Comment,0
advaitjain,Commit,2
advaitjain,Review,0
njeffrie,PullRequest,0
njeffrie,Comment,0
njeffrie,Commit,0
njeffrie,Review,1
tensorflow-butler,PullRequest,0
tensorflow-butler,Comment,2
tensorflow-butler,Commit,0
tensorflow-butler,Review,0
pak-laura,PullRequest,0
pak-laura,Comment,0
pak-laura,Commit,4
pak-laura,Review,0
kulinseth,PullRequest,1
kulinseth,Comment,0
kulinseth,Commit,1
kulinseth,Review,1
philipphack,PullRequest,1
philipphack,Comment,0
philipphack,Commit,1
philipphack,Review,0
sanjoy,PullRequest,0
sanjoy,Comment,1
sanjoy,Commit,0
sanjoy,Review,1
PatriceVignola,PullRequest,2
PatriceVignola,Comment,0
PatriceVignola,Commit,4
PatriceVignola,Review,0
