"Author","#Issue","#Comment"
AndreyPlotkinOr,1,0
ljluisjimenez12,1,1
bhack,0,17
haolingzhang1,1,1
UsharaniPagadala,0,12
suraj-maniyar,1,9
abattery,0,16
thaink,0,4
abhijit1247,1,0
tilakrayal,0,29
tensorflow-butler,0,21
rthadur,5,0
svobora,1,6
impjdi,0,2
laplacericky,1,3
diamar338,1,0
yngwiepang,1,2
yyoon,0,2
SanjuSoni,1,1
DachuanZhao,1,0
pythonic2020,0,1
ymodak,0,6
Georgeiva,1,0
Flamefire,1,4
qlzh727,0,3
zheyuye,1,1
luckmoon,1,0
Saduf2019,0,13
Keshav2829,1,2
GuyPozner,1,0
mrawding,1,0
cuneyttanrisever,1,1
lonerzzz,1,1
anpingchen,1,0
Nytish,1,2
fwz-fpga,1,1
multiverse-tf,0,2
jeongukjae,1,0
aditisaluja5,1,0
FSet89,1,0
yananchen1989,1,0
xiaomsky,1,2
prikmm,1,2
luozhouyang,0,1
ardtrkc,1,1
rmothukuru,0,7
zakajd,1,1
harishsureit,1,1
fsx950223,1,0
MrinalTyagi,0,1
worldpeaceaspirer,4,1
pranathibl,3,1
MeghnaNatraj,0,1
berendjan,1,0
FabianaFerreira,1,1
drkhan107,1,1
lgeiger,0,1
sroener,1,2
ToonTalk,1,0
vishalkumar00,1,0
sid-sundrani,1,1
cswhjiang,2,0
robertnoest,1,0
Florent4223,1,0
tgaddair,1,2
DEKHTIARJonathan,0,1
gromovkg,0,2
Lucy20211,2,3
karimnosseir,0,1
cosmoquester,1,1
laurenmurphyx64,1,0
wangtz,0,1
jwj04ok,2,0
ashutosh1919,1,2
RadEdje,1,1
bizzyvinci,1,0
patriklaurell,1,1
Iskers,1,1
Joocheol,1,2
BishmoyPaul,1,1
pesekon2,1,0
jvishnuvardhan,0,1
fronrfron11,1,1
Stonepia,1,0
davidricafort,1,2
vinits5,1,0
budibeta,1,1
morrisalp,1,0
yongtang,1,0
YuriyTigiev,1,2
all-over-the-place,1,0
otavio-silva,1,0
successAI,1,0
vbod,1,0
emadboctorx,1,0
cl3m3nt,1,0
HMellor,1,0
Sudhan97,1,1
srjoglekar246,0,1
edloper,0,2
feiyouliang,1,0
iusaspb,1,1
asishm-wk,1,0
kishorkuttan,1,3
rainwoodman,1,0
simon-berger,1,0
slala2121,1,0
MarkDaoust,0,1
ARKAD97,1,0
hjmus,1,0
ghaliayik,1,0
AhmadObeid,1,0
aliencaocao,1,0
gauravreddy08,1,0
mrdbourke,0,1
