Unique_Author,File_changed,Insertions,Deletions,Issue
A. Unique TensorFlower,118992,7560883,5726547,108
Jiri Simsa,5257,107393,77224,4
Chao Mei,829,13822,9106,6
Isha Arkatkar,59,2528,584,1
Shivani Agrawal,519,15307,10466,0
HanBin Yoon,29,728,36,0
Robert David,1012,15959,14972,0
Meghna Natraj,357,19047,11620,2
Geoffrey Martin-Noble,344,6877,4683,0
Xiao Yu,799,11934,5901,4
Tomer Kaftan,482,17783,11782,1
Li Lao,60,2474,2133,0
Yash Katariya,261,10368,7018,1
George Karpenkov,2399,39979,28932,1
Alexander Belyaev,1215,22580,12880,0
Peter Hawkins,6287,268718,74123,7
Saurabh Saxena,1245,42424,10175,3
Feng Liu,1449,40248,14311,1
Berkin Ilbeyi,438,17932,4545,0
Mingming Liu,76,2076,324,0
Rajkumar Samuel,27,564,76,0
Roman Dzhabarov,75,1151,547,1
Tatiana Shpeisman,214,4904,1160,1
Rahul Joshi,1194,26760,11801,1
Dan Moldovan,2303,60880,32201,3
Smit Hinsu,1824,30978,16358,0
Benjamin Kramer,1884,19610,14709,0
Stephan Herhut,1004,17505,10753,2
Marvin Kim,14,722,80,0
Tian Lin,88,842,2243,0
Alex Zinenko,1331,44811,19024,0
Jinliang Wei,65,3970,284,0
Raman Sarokin,4570,83939,69396,0
Thai Nguyen,668,17108,3812,0
Terry Heo,463,14521,4156,2
Marat Dukhan,322,33187,5401,0
Mihai Maruseac,2405,31111,38009,3
Qiao Zhang,240,7534,3517,0
Haoliang Zhang,463,11404,2080,0
Jing Pu,128,2060,442,0
Allen Lavoie,3811,92143,30115,4
Reed Wanderman-Milne,1644,32042,12325,8
Yang Chen,29,521,133,0
Daniel Speckhard,2,2,2,0
Prakalp Srivastava,690,13771,3651,0
Michael Delorimier,87,2135,368,0
Adrian Kuegel,2327,35739,23507,0
Eugene Zhulenev,1410,51749,21242,0
Amit Patankar,2153,29491,26168,29
Hyeonjong Ryu,113,1607,674,0
Jaesung Chung,1321,34304,9526,0
Shlomi Regev,54,424,97,0
Renjie Liu,743,34566,20679,1
David Majnemer,836,11213,4741,0
Marcello Maggioni,152,7408,2347,0
T.J. Alumbaugh,325,14018,3907,0
Katherine Wu,1493,35889,15834,3
Suraj Sudhir,71,18116,1820,0
Monica Song,72,1504,579,0
Edward Loper,1182,46015,15744,1
Wenhao Jia,370,5065,1974,0
Yunxing Dai,1394,43717,16579,0
Nat Jeffries,878,35408,28979,8
Tim Shen,1884,54270,30883,0
Laura Pak,61,1046,48,0
Amogh Joshi,12,145,58,0
Rohan Jain,2107,89774,45147,8
David Pal,2,26,0,0
Matt Watson,735,5926,7692,0
Haitang Hu,29,664,157,0
Ken Franko,549,15651,6628,0
Sanjoy Das,3771,217912,46838,1
Yi Situ,256,5842,1961,1
Rick Chao,975,23022,7628,3
Scott Zhu,3816,101634,66552,18
Advait Jain,1670,26626,33754,1
Mark Daoust,2076,89399,127539,0
Tres Popp,469,5902,3411,0
